source_global_identifier,destination_global_identifier,rel_type,rel_properties$
mapping__https://en.wikipedia.org/wiki/Robert_MacLeod,KP__eliNZW4de9NcJsQhyRNjUj,SAMEAS,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Robert_MacLeod,mapping__https://en.wikipedia.org/wiki/Johnson_Matthey,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""CEO""}"
mapping__https://en.wikipedia.org/wiki/Robert_MacLeod,mapping__07647c21bf67c76f4feeea89490d93bb,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Robert_MacLeod,mapping__6699d67706d9538fe9f4b9c065056604,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Robert_MacLeod,mapping__da03f9c331906344da99fdab845e1764,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Robert_MacLeod,mapping__e2d11d3a3ee0a9ef5c328e3de73130e1,NAMEVARIANT,"{""from"":""external""}"
mapping__Robert Maersk Uggla,mapping__https://en.wikipedia.org/wiki/Maersk,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Maersk Uggla,mapping__b4a4f91ce6962aac8e4f3e05dfe86ea8,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Maersk Uggla,mapping__441c20fef3807662fd31d8f68cdcfc4d,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Donald_Robert_McDonald,mapping__https://en.wikipedia.org/wiki/Fletcher_Building,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__https://en.wikipedia.org/wiki/Donald_Robert_McDonald,mapping__f625a59c60188145fb105844ac75a133,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Donald_Robert_McDonald,mapping__3c4d7b89f14690adc4212216ee2a3934,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Donald_Robert_McDonald,mapping__3ba8e6ce447dcdece026c6f79228c4c2,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Donald_Robert_McDonald,mapping__6d3a51ab0f03689db2029a1e0323043f,NAMEVARIANT,"{""from"":""external""}"
mapping__Robert McEvoy,mapping__https://en.wikipedia.org/wiki/Reliance_Steel_&_Aluminum_Co.,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert McEvoy,mapping__b9eba0ecbdd4e2a7eccdcb8393ccd3fe,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert McEvoy,mapping__9f02bfbefb2e60ed1c6f9e07671b61a1,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert McEvoy,mapping__0ea137c5f91f98c647cb7469f788238b,NAMEVARIANT,"{""from"":""external""}"
mapping__Robert McIntosh,KP__c09f87ce844e872fda994dc226e4d000,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert McIntosh,mapping__35528de08ca8dd2594d3f414af65d436,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert McIntosh,mapping__0f88710fc939d926368e9d5ea12482b9,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert McIntosh,mapping__e0216d621ce8a460071f29931cc994b4,NAMEVARIANT,"{""from"":""external""}"
mapping__Robert McLaughlin,mapping__https://en.wikipedia.org/wiki/Beacon_Building_Products,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert McLaughlin,mapping__48494fa560679a89ba39ff4b793f38b4,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert McLaughlin,mapping__5bc7e85a498cd2602da9b38b5c9002ec,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert McLaughlin,mapping__08585ad365398150bf5b2334fa0f74f0,NAMEVARIANT,"{""from"":""external""}"
mapping__Robert McMahon,mapping__https://en.wikipedia.org/wiki/Agilent_Technologies,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert McMahon,mapping__1c464f9cc9254340867e45616e5d783b,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
