source_global_identifier,destination_global_identifier,rel_type,rel_properties
mapping__https://en.wikipedia.org/wiki/Olin_Palladium_Award,mapping__2d8e98a1a94950a67ff9c8dbe97e0eb9,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Olin_Palladium_Award,mapping__12d359166f24979396bc3f8d07619621,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/OMNOVA_Solutions,KP__b1d496fae041c1b6ff80d221eb5e7163,SAMEAS,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/OMNOVA_Solutions,mapping__a3e12cbf3e625533fb1cdba1064aa3d0,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/OMNOVA_Solutions,mapping__4f94dc9ab091fc26024611746abfd701,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
"mapping__""Orion Engineered Carbons""",KP__09a6b5f87e88ca39c34bd7268ce34723,SAMEAS,"{""from"":""EntityCollectionTask_Cognizant""}"
"mapping__""Orion Engineered Carbons""",mapping__0a3b6a5c4aa3e7a386bfc425a282b833,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
"mapping__""Orion Engineered Carbons""",mapping__7101527f135d8f3d84fefd360cb335ac,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Pennzoil,mapping__7121bd6a959b7266e1b0c175e6c624dc,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Pennzoil,mapping__f6ee39c05b79e2e03e6de9439cd59ec6,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Avient_Corporation,mapping__a9bffffa5e718c84094c48a53835fc3c,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Avient_Corporation,mapping__7db38d99c44bbaa45acc958a238052b8,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Avient_Corporation,mapping__c88392a7cdcc497dd8a33e813424c6fa,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/PPG_Industries,KP__c5b0c4f4319a8b67f6e69e18e56d7956,SAMEAS,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/PPG_Industries,mapping__88444e33211109c14e763922607f5bdd,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/PPG_Industries,mapping__c29c96feb01434062f66777f0538b2a0,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/PPG_Industries,mapping__2629c77205aaf39de9adadee6ccc1fb5,NAMEVARIANT,"{""from"":""external""}"
"mapping__""PQ Corp.""",mapping__b073afbdbe945dfc385d759e3d4fe040,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
"mapping__""PQ Corp.""",mapping__85799d5a746849d2b57c28158b30270d,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Praxair,mapping__820aa32b448d6cadd858cddc4a6ecd14,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Praxair,mapping__d229ddba3edf0ef57c353b3b744dd6a2,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Praxair,mapping__bf51e17d8b520e6718518d74a67e6cb0,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Praxair,mapping__91e128b37bef58c878fb394cf39ae6bf,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Praxair,mapping__2d34a694d7988ca237ba89be16adc6a4,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Procter_&_Gamble,KP__f362c1e6665b9c8d30e0d33e00e9d721,SAMEAS,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Procter_&_Gamble,mapping__07237f921edce18c1027f636d865855d,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Procter_&_Gamble,mapping__8d683a910c40c376ed50feedd90c07b2,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Procter_&_Gamble,mapping__1d93ecc1463d80b6e5c8f31a5785aec8,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Procter_&_Gamble,mapping__1e566f6e25b865d3e3a20a3b83d2f8f1,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Procter_&_Gamble,mapping__679dca52e2cf9558aa024ffa9633b913,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/PROSOCO,KP__6b6b37feb92ab9093e89b314542a26d6,SAMEAS,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/PROSOCO,mapping__7036c05660955d20b41c6b7e208656d0,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/PROSOCO,mapping__9013c413fe09b24e13817e7f361dd374,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Quaker_Chemical_Corporation,mapping__514f6e358093b8a1ff0ea048fc6e3b5a,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Quaker_Chemical_Corporation,mapping__9bf71fbe3840bba7e55521db2d85972a,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Rayonier_Advanced_Materials,KP__6f6073c5f95cb4d0d95b8b28812aec2a,SAMEAS,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Rayonier_Advanced_Materials,mapping__d4ba7a3f1aa656c2b5a89161df7b86c0,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Rayonier_Advanced_Materials,mapping__9a70aa5e41d06e9e1f61e62959b869f1,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Red_Line_Synthetic_Oil_Corporation,mapping__4209bfb6ab412e19fed15331e19061b6,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Red_Line_Synthetic_Oil_Corporation,mapping__4d6d6d056ae8523f2f6aa3e220011126,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Rentech,mapping__07747a979ad6a1e77bacc12c7587dfdf,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Rentech,mapping__216df0c52df99504c5acda5280f3e7c9,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Resperion,mapping__6d8644ad85a303c6e19ecb9869c14a64,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Resperion,mapping__4a28f26e25bb76d5b39b016f8bcfb9f5,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Richman_Chemical,mapping__410d2bcecd3511a594f1cfad0cc4b0ca,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Richman_Chemical,mapping__574791ea6344b9de2f71e03118d36f8d,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
