source_global_identifier,destination_global_identifier,rel_type,rel_properties
logo_classes__https://en.wikipedia.org/wiki/Bed_Bath_&_Beyond,logo_classes__ed20cf28da4c1cfc2b84fd1efa8953ba,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Bed_Bath_&_Beyond,logo_classes__249509bee767830bb51a141c3aa49120,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Bed_Bath_&_Beyond,logo_classes__11cc2b30f5cd3dd87ee0597c1fb7fe8e,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Bed_Bath_&_Beyond,logo_classes__0c286f8f3535227c0e54bc9177378e64,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Belk,KP__962b7e74093b3bb8bf20a77af261e13d,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Belk,logo_classes__cd061ba74882bd13da387eeab967db82,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__bellataylor,logo_classes__db9513fdeeeda631db3c1d8d992a9dae,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__bellodigital,logo_classes__fbd2ee4e0e0b55e1df7877921b4e6a45,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Bergisch-Markisch_Railway_Company,KP__a410dc6570b7ba845a4c9fc4b83f8c9e,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Bergisch-Markisch_Railway_Company,logo_classes__f7982b478970479644c43fe695cd42a8,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Bergisch-Markisch_Railway_Company,logo_classes__f3cd5b5e218fd2a350eb57538fa20e6c,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Bergisch-Markisch_Railway_Company,logo_classes__fa5d8e6b832782037e6c287e42fc1a2a,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Bergisch-Markisch_Railway_Company,logo_classes__abc700efba5337e32470a8dc3091c628,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Benrus,logo_classes__be5d056f0875a663214be3905e1306c4,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Berkshire_Hathaway,KP__a5d91bcc184582038da424d86dbfb176,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Berkshire_Hathaway,logo_classes__cea489429b64a1760c6cc7118a791725,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Berkshire_Hathaway,logo_classes__a77eea8730bffadde18be31b6715ff5f,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Berkshire_Hathaway,logo_classes__2d2c105b08ef2f7d920e2ac7264028b1,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Berkshire_Hathaway,logo_classes__4b971e93c0109d0c5138fecc991dc638,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Berkshire_Hathaway,logo_classes__9a8705ae1fbff2d60dafa1a93007e446,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Bershka,logo_classes__bd7dfcd59fde48b491c55f9d577d9e27,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Bershka,logo_classes__f6696b4a241dc2b7add87997080c783a,NAMEVARIANT,"{""from"":""external""}"
logo_classes__bestbuy,KP__f57fe55871f3283a7ba61a3b7b491068,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__bestbuy,logo_classes__97b145a98a3cd01ce89c53dcfdf04779,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/BFGoodrich,KP__fba1847d8083159de3346923e52869a1,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/BFGoodrich,logo_classes__e8d21ce2bc6ff9d4e94f3764575d4b1e,NAMEVARIANT,"{""from"":""logo_classes""}"
