source_global_identifier,destination_global_identifier,rel_type,rel_properties
https://en.wikipedia.org/wiki/Northrop_Grumman_E-2_Hawkeye__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Naval_Aviation__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Mudry_CAP_10__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Naval_Aviation__P0 - Military Aircrafts,OperatingOrganization,{}
NHIndustries NH90 Caïman Marine__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Naval_Aviation__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Panavia_Tornado__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/German_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Eurofighter_Typhoon__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/German_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Eurofighter_Typhoon__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Eurofighter_Typhoon__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Ministry_of_Defence_(United_Kingdom)__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Airbus_A310__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/German_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Airbus_A319__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/German_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Airbus_A321__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/German_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
