handle,caption_name,location_lower,location,type,groups,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
nlinmalaysia,Dutch Embassy in Malaysia,Malaysia,,,malaysia;netherlands,,,Dutch Embassy in Malaysia,,dgm_vcstartup_mentioner,d29f31b55712908785f88da330e7c40e,dgm_vcstartup_mentioner__d29f31b55712908785f88da330e7c40e
omanemb_riyadh,Omani Embassy in Saudi Arabia,Saudi Arabia,,,saudi arabia;oman,,,Omani Embassy in Saudi Arabia,,dgm_vcstartup_mentioner,ca7a739ea5cf8314848cae3b4a9286dc,dgm_vcstartup_mentioner__ca7a739ea5cf8314848cae3b4a9286dc
usembbaghdad,US Embassy in Iraq,Iraq,,,iraq;united states,,,US Embassy in Iraq,,dgm_vcstartup_mentioner,0a4ead1b0b588e6cfbc7a4105e2ba3ee,dgm_vcstartup_mentioner__0a4ead1b0b588e6cfbc7a4105e2ba3ee
ambafrancefj,French Ambassador to Fiji Fitou,Fiji,,,fiji;france,,,French Ambassador to Fiji Fitou,,dgm_vcstartup_mentioner,b7297815cacbb01d2c8ef871c5e0e581,dgm_vcstartup_mentioner__b7297815cacbb01d2c8ef871c5e0e581
ostaustria_dc,Office of Science and Technology at Austrian Embassy in US,United States,,,united states;austria,,,Office of Science and Technology at Austrian Embassy in US,,dgm_vcstartup_mentioner,b9f17c814dab41c1028d3aab15e3dd6b,dgm_vcstartup_mentioner__b9f17c814dab41c1028d3aab15e3dd6b
russianembyemen,Russian Embassy in Yemen,Yemen,,,yemen;russia,,,Russian Embassy in Yemen,,dgm_vcstartup_mentioner,b28af1367be093d219a2e77be53fa9e7,dgm_vcstartup_mentioner__b28af1367be093d219a2e77be53fa9e7
italyinnor_isl,Italian Embassy to Norway and Iceland,Norway,,,norway;italy,,,Italian Embassy to Norway and Iceland,,dgm_vcstartup_mentioner,85f9ca4f971162bef8db3fb88b4a072b,dgm_vcstartup_mentioner__85f9ca4f971162bef8db3fb88b4a072b
ltembassydelhi,Lithuanian Embassy in India,India,,,india;lithuania,,,Lithuanian Embassy in India,,dgm_vcstartup_mentioner,6bb1f93697f4093c321e4d02ed7d5ff7,dgm_vcstartup_mentioner__6bb1f93697f4093c321e4d02ed7d5ff7
qataremb_mbb,Qatari Embassy in Eswatini,Eswatini,,,eswatini;qatar,,,Qatari Embassy in Eswatini,,dgm_vcstartup_mentioner,070d5503c3228e538fde039c9f191d33,dgm_vcstartup_mentioner__070d5503c3228e538fde039c9f191d33
spainbiz_india,Economic and Commercial Offices at Spanish Embassy in India,India,,,india;spain,,,Economic and Commercial Offices at Spanish Embassy in India,,dgm_vcstartup_mentioner,e73975d4aa3c333dcce9aae6ae112859,dgm_vcstartup_mentioner__e73975d4aa3c333dcce9aae6ae112859
usambireland,US Ambassador to Ireland McKnight,Ireland,,,ireland;united states,,,US Ambassador to Ireland McKnight,,dgm_vcstartup_mentioner,362abecb9de6b8fa3770385ad763db46,dgm_vcstartup_mentioner__362abecb9de6b8fa3770385ad763db46
norwaythehague,Norwegian Embassy in Netherlands,Haag,,,haag;norway,,,Norwegian Embassy in Netherlands,,dgm_vcstartup_mentioner,914697093c5e4ea5a9e3a6c53c8bde0e,dgm_vcstartup_mentioner__914697093c5e4ea5a9e3a6c53c8bde0e
inainbucharest,Indonesian Embassy in Romania,Romania,,,romania;indonesia,,,Indonesian Embassy in Romania,,dgm_vcstartup_mentioner,41c9677d3e66021a5d6edff59093e6ac,dgm_vcstartup_mentioner__41c9677d3e66021a5d6edff59093e6ac
agrimexico,Department of Agriculture at Dutch Embassy in Mexico,Mexico,,,mexico;netherlands,,,Department of Agriculture at Dutch Embassy in Mexico,,dgm_vcstartup_mentioner,b702571f14364436efc42a60378602f6,dgm_vcstartup_mentioner__b702571f14364436efc42a60378602f6
indonesiainvcs,Indonesian Embassy in Vatican City,Vatican City,,,vatican city;indonesia,,,Indonesian Embassy in Vatican City,,dgm_vcstartup_mentioner,7a905994593905f0e3f46349cfa59217,dgm_vcstartup_mentioner__7a905994593905f0e3f46349cfa59217
joembassyuk,Jordianian Embassy in UK,UK,,,uk;jordan;united kingdom,,,Jordianian Embassy in UK,,dgm_vcstartup_mentioner,b4850062cff93913b778e885da03dcac,dgm_vcstartup_mentioner__b4850062cff93913b778e885da03dcac
usembru,US Embassy in Russia,Russia,,,russia;united states,,,US Embassy in Russia,,dgm_vcstartup_mentioner,e48448dd6f01d9183fa20bae7781a635,dgm_vcstartup_mentioner__e48448dd6f01d9183fa20bae7781a635
