german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,u,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
im stengelken,"Im Stengelken in Bochum, Germany",51.4680863,7.3113887,1,,,,,,,Organization,"Im Stengelken in Bochum, Germany",,german_fires_bochum_locations,6ceb5f2c20e60018d7d09b5c7a4a5a89,german_fires_bochum_locations__6ceb5f2c20e60018d7d09b5c7a4a5a89
im storksfeld,"Im Storksfeld in Bochum, Germany",51.5075271,7.2047117,1,,,,,,,space,"Im Storksfeld in Bochum, Germany",,german_fires_bochum_locations,9e5636ba55208977ff6490fa690965c9,german_fires_bochum_locations__9e5636ba55208977ff6490fa690965c9
im streb,"Im Streb in Bochum, Germany",51.4899089,7.3048037,1,,,,,,,News,"Im Streb in Bochum, Germany",,german_fires_bochum_locations,001a788486a90477b4223237462ed3d7,german_fires_bochum_locations__001a788486a90477b4223237462ed3d7
im uhlenwinkel,"Im Uhlenwinkel in Bochum, Germany",51.4778625,7.3039349,1,,,,,,,DiplomaticFacilities,"Im Uhlenwinkel in Bochum, Germany",,german_fires_bochum_locations,92acedae75c8b271ab84e23285f5a957,german_fires_bochum_locations__92acedae75c8b271ab84e23285f5a957
im umminger feld,"Im umminger Feld in Bochum, Germany",51.4644092,7.2955346,1,,,,,,,Legislator,"Im umminger Feld in Bochum, Germany",,german_fires_bochum_locations,28463f748f8f0fe6371fd559c6d9e9b7,german_fires_bochum_locations__28463f748f8f0fe6371fd559c6d9e9b7
im vogelspoth,"Im Vogelspoth in Bochum, Germany",51.4728991,7.1631286,1,,,,,,,Consulates,"Im Vogelspoth in Bochum, Germany",,german_fires_bochum_locations,5421e962855931512d91876ed9193ed8,german_fires_bochum_locations__5421e962855931512d91876ed9193ed8
im welperschen,"Im Welperschen in Bochum, Germany",51.4251862,7.173328,1,,,,,,,AAEntity,"Im Welperschen in Bochum, Germany",,german_fires_bochum_locations,f8f14bbdd035109aa77b65afcb914064,german_fires_bochum_locations__f8f14bbdd035109aa77b65afcb914064
im westenfeld,"Im Westenfeld in Bochum, Germany",51.4496425,7.2667335,1,,,,,,,IndustryTerm,"Im Westenfeld in Bochum, Germany",,german_fires_bochum_locations,4ba73802d755cab52798c91b8612bec1,german_fires_bochum_locations__4ba73802d755cab52798c91b8612bec1
im wielert,"Im Wielert in Bochum, Germany",51.5100583,7.2144645,1,,,,,,,Organization,"Im Wielert in Bochum, Germany",,german_fires_bochum_locations,9b37794bac68e40cb84b036d4cdb6ce6,german_fires_bochum_locations__9b37794bac68e40cb84b036d4cdb6ce6
im wiescherfeld,"Im Wiescherfeld in Bochum, Germany",51.4833698,7.2840506,1,,,,,,,Pipeline,"Im Wiescherfeld in Bochum, Germany",,german_fires_bochum_locations,b8605c54025615efa66a27cc4ea5a110,german_fires_bochum_locations__b8605c54025615efa66a27cc4ea5a110
