keyword,caption_name,type,threshold,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
kisseop91,Singer Lee Ki-seop,Celebrity,general.alert4,Celebrity,Singer Lee Ki-seop,,Celeb_Mentioner,f1f05dcc554d73f90f20d4e01bd3b3e9,Celeb_Mentioner__f1f05dcc554d73f90f20d4e01bd3b3e9
eduorozco,Actor Eduardo Orozco,Celebrity,general.alert4,Celebrity,Actor Eduardo Orozco,,Celeb_Mentioner,f34600db08d9a38c7102f3843e0e8dca,Celeb_Mentioner__f34600db08d9a38c7102f3843e0e8dca
honorataskarbek,Singer Honorata Skarbek,Celebrity,general.alert4,Celebrity,Singer Honorata Skarbek,,Celeb_Mentioner,f89278fa6d11a002744c7f9e1da3424c,Celeb_Mentioner__f89278fa6d11a002744c7f9e1da3424c
marawilson,Actor Mara Wilson,Celebrity,general.alert4,Celebrity,Actor Mara Wilson,,Celeb_Mentioner,0d78bdfafe09ea056399c56da605624e,Celeb_Mentioner__0d78bdfafe09ea056399c56da605624e
garettnelson,Internet personality Garett Nelson,Celebrity,general.alert4,Celebrity,Internet personality Garett Nelson,,Celeb_Mentioner,7e34e42897a652dbb666bea2e0fa06bc,Celeb_Mentioner__7e34e42897a652dbb666bea2e0fa06bc
carlyrosemusic,Singer Carly Rose Sonenclar,Celebrity,general.alert4,Celebrity,Singer Carly Rose Sonenclar,,Celeb_Mentioner,71df21e8782b8b28e455d0cc127808d1,Celeb_Mentioner__71df21e8782b8b28e455d0cc127808d1
officiallygt,TV presenter Georgie Ainslie,Celebrity,general.alert4,Celebrity,TV presenter Georgie Ainslie,,Celeb_Mentioner,4a81ba352e872f34377a510c586f0821,Celeb_Mentioner__4a81ba352e872f34377a510c586f0821
yungblud,Singer Yungblud,Celebrity,general.alert4,Celebrity,Singer Yungblud,,Celeb_Mentioner,facffce2c82f413ea7a55ee200cfad7b,Celeb_Mentioner__facffce2c82f413ea7a55ee200cfad7b
dpsdasonze,Musicial duo Depois das 11,Celebrity,general.alert4,Celebrity,Musicial duo Depois das 11,,Celeb_Mentioner,28c4b163ce895ec1366d26a2c03597b5,Celeb_Mentioner__28c4b163ce895ec1366d26a2c03597b5
ikmubmik,Actor Kim Ki-bum,Celebrity,general.alert4,Celebrity,Actor Kim Ki-bum,,Celeb_Mentioner,a042d2599f93e7f44d2e91fe1f0597d6,Celeb_Mentioner__a042d2599f93e7f44d2e91fe1f0597d6
albaroversi,Actor Alba Roversi,Celebrity,general.alert4,Celebrity,Actor Alba Roversi,,Celeb_Mentioner,d84a93c1c1e0deb1cf3b58dfeb930b13,Celeb_Mentioner__d84a93c1c1e0deb1cf3b58dfeb930b13
officialchip,Rapper Chip,Celebrity,general.alert4,Celebrity,Rapper Chip,,Celeb_Mentioner,2bb3036fc31ac8da6f36b31e3b731f0f,Celeb_Mentioner__2bb3036fc31ac8da6f36b31e3b731f0f
bensplatt,Actor Ben Platt,Celebrity,general.alert4,Celebrity,Actor Ben Platt,,Celeb_Mentioner,fa035b92efe7cfb618572659a44d682e,Celeb_Mentioner__fa035b92efe7cfb618572659a44d682e
elizabethhurley,Actor Elizabeth Hurley,Celebrity,general.alert4,Celebrity,Actor Elizabeth Hurley,,Celeb_Mentioner,f20aab8fdf11eba479011961967efbe3,Celeb_Mentioner__f20aab8fdf11eba479011961967efbe3
rambodonkeykong,Actor Ryan Hurst,Celebrity,general.alert4,Celebrity,Actor Ryan Hurst,,Celeb_Mentioner,8a28448e59eb8595c44607a05c5dc410,Celeb_Mentioner__8a28448e59eb8595c44607a05c5dc410
jayleno,TV host Jay Leno,Celebrity,general.alert4,Celebrity,TV host Jay Leno,,Celeb_Mentioner,b6128e9675ab0d4d4a96270c50c2006d,Celeb_Mentioner__b6128e9675ab0d4d4a96270c50c2006d
yomomusic,Singer Yomo,Celebrity,general.alert4,Celebrity,Singer Yomo,,Celeb_Mentioner,2d1880fd4ee16cb9e7b00066687ab71e,Celeb_Mentioner__2d1880fd4ee16cb9e7b00066687ab71e
shin_soohyun89,Singer Shin Soo-hyun,Celebrity,general.alert4,Celebrity,Singer Shin Soo-hyun,,Celeb_Mentioner,1ab888828d9740728981454d45378405,Celeb_Mentioner__1ab888828d9740728981454d45378405
glozell,Comedian GloZell Lyneette Green,Celebrity,general.alert4,Celebrity,Comedian GloZell Lyneette Green,,Celeb_Mentioner,dfee41011520f8076944b8b567358117,Celeb_Mentioner__dfee41011520f8076944b8b567358117
alyandaj,Musical duo Aly and AJ,Celebrity,general.alert4,Celebrity,Musical duo Aly and AJ,,Celeb_Mentioner,152cb6f4706d84c4052092070b3e834b,Celeb_Mentioner__152cb6f4706d84c4052092070b3e834b
tessathompson_x,Actor Tessa Thompson,Celebrity,general.alert4,Celebrity,Actor Tessa Thompson,,Celeb_Mentioner,af7264dfa7142a74c6c1eab1a41c0ed0,Celeb_Mentioner__af7264dfa7142a74c6c1eab1a41c0ed0
iamdesibanks,Actor Desi Banks,Celebrity,general.alert4,Celebrity,Actor Desi Banks,,Celeb_Mentioner,3aaa807ed4c858c6deb0f1ca35f7cbfc,Celeb_Mentioner__3aaa807ed4c858c6deb0f1ca35f7cbfc
jonnybernthal,Actor Jon Bernthal,Celebrity,general.alert4,Celebrity,Actor Jon Bernthal,,Celeb_Mentioner,bb030986c14679b201d32c66ad77f082,Celeb_Mentioner__bb030986c14679b201d32c66ad77f082
dani3palacios,Musician Dani 3Palacios,Celebrity,general.alert4,Celebrity,Musician Dani 3Palacios,,Celeb_Mentioner,f0327fbfbc17f0ad43fdd75ca25caa81,Celeb_Mentioner__f0327fbfbc17f0ad43fdd75ca25caa81
akimotooo726,Actor Sayaka Akimoto,Celebrity,general.alert4,Celebrity,Actor Sayaka Akimoto,,Celeb_Mentioner,1ceedd9fe21bba15b6af47c74121d446,Celeb_Mentioner__1ceedd9fe21bba15b6af47c74121d446
