keyword,caption_name,topic_id,location,guid,groups,entity_type,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
beijingalaxy-1,BeijinGalaxy-1 earth observation satellite,188261,a1433,,,satellite,Satellite,BeijinGalaxy-1 earth observation satellite,,milpress_mentionee,bf95b5df3c3b51c747c7ffea3026fafb,milpress_mentionee__bf95b5df3c3b51c747c7ffea3026fafb
bufeng-1a,Bufeng-1A earth observation satellite,188261,a1433,,,satellite,Satellite,Bufeng-1A earth observation satellite,,milpress_mentionee,882abb60ffe94ebbb79b82b9d6f3896a,milpress_mentionee__882abb60ffe94ebbb79b82b9d6f3896a
bufeng-1b,Bufeng-1B earth observation satellite,188261,a1433,,,satellite,Satellite,Bufeng-1B earth observation satellite,,milpress_mentionee,be53988462793e9cf3ea5ce82e264bb4,milpress_mentionee__be53988462793e9cf3ea5ce82e264bb4
centispace-1-s1,Centispace-1-S1 technology development satellite,188261,a1433,,,satellite,Satellite,Centispace-1-S1 technology development satellite,,milpress_mentionee,2bd24c8fcc4cc952e566594cd2c11673,milpress_mentionee__2bd24c8fcc4cc952e566594cd2c11673
changshagaoxin,Changshagaoxin technology development satellite,188261,a1433,,,satellite,Satellite,Changshagaoxin technology development satellite,,milpress_mentionee,f8dc83d7fe6376f06dc4ccf1c416f108,milpress_mentionee__f8dc83d7fe6376f06dc4ccf1c416f108
chao fenbianlu,Chao Fenbianlu earth observation satellite,188261,a1433,,,satellite,Satellite,Chao Fenbianlu earth observation satellite,,milpress_mentionee,f5a6927ef01e464d0a2507aa39194744,milpress_mentionee__f5a6927ef01e464d0a2507aa39194744
chuangxin 1-1,Chuangxin 1-1 communications satellite,188261,a1433,,,satellite,Satellite,Chuangxin 1-1 communications satellite,,milpress_mentionee,df92842615bc434b39d53f0521ac7c0a,milpress_mentionee__df92842615bc434b39d53f0521ac7c0a
chuangxin 1-2,Chuangxin 1-2 earth observation satellite,188261,a1433,,,satellite,Satellite,Chuangxin 1-2 earth observation satellite,,milpress_mentionee,ace5df39478081323f87b5e637bcfdb5,milpress_mentionee__ace5df39478081323f87b5e637bcfdb5
chuangxin 1-3,Chuangxin 1-3 earth observation satellite,188261,a1433,,,satellite,Satellite,Chuangxin 1-3 earth observation satellite,,milpress_mentionee,a229a31c11230c4356f5c98fccaf2c28,milpress_mentionee__a229a31c11230c4356f5c98fccaf2c28
chuangxin 1-4,Chuangxin 1-4 earth observation satellite,188261,a1433,,,satellite,Satellite,Chuangxin 1-4 earth observation satellite,,milpress_mentionee,747337a5e8eaac07fc5bcf104792a438,milpress_mentionee__747337a5e8eaac07fc5bcf104792a438
chuangxin-3,Chuangxin-3 technology development satellite,188261,a1433,,,satellite,Satellite,Chuangxin-3 technology development satellite,,milpress_mentionee,ff83d6c463a3c96b746afcf2ffa16096,milpress_mentionee__ff83d6c463a3c96b746afcf2ffa16096
dampe,DAMPE space science satellite,188261,a1433,,,satellite,Satellite,DAMPE space science satellite,,milpress_mentionee,54b9a06527c899399d78b5a700009c9a,milpress_mentionee__54b9a06527c899399d78b5a700009c9a
dcbb,DCBB technology development satellite,188261,a1433,,,satellite,Satellite,DCBB technology development satellite,,milpress_mentionee,6dd9e37846fb0f98dcf9098ba3c17cbc,milpress_mentionee__6dd9e37846fb0f98dcf9098ba3c17cbc
duogongneng shiyan weixing,Duogongneng Shiyan Weixing technology development satellite,188261,a1433,,,satellite,Satellite,Duogongneng Shiyan Weixing technology development satellite,,milpress_mentionee,995ec7bc39e3e4d12aea4f364ade6fcb,milpress_mentionee__995ec7bc39e3e4d12aea4f364ade6fcb
fengmaniu-1,Fengmaniu-1 technology development satellite,188261,a1433,,,satellite,Satellite,Fengmaniu-1 technology development satellite,,milpress_mentionee,3e941d842579b2106db16dcd712035a9,milpress_mentionee__3e941d842579b2106db16dcd712035a9
fengniao 1a,Fengniao 1A technology development satellite,188261,a1433,,,satellite,Satellite,Fengniao 1A technology development satellite,,milpress_mentionee,d61ca2a0d12fe3fe94130da2f9b2a005,milpress_mentionee__d61ca2a0d12fe3fe94130da2f9b2a005
fengyun 2f,Fengyun 2F earth observation satellite,188261,a1433,,,satellite,Satellite,Fengyun 2F earth observation satellite,,milpress_mentionee,c51521468039dc7717c762c2ed0769a9,milpress_mentionee__c51521468039dc7717c762c2ed0769a9
fengyun 2g,Fengyun 2G earth observation satellite,188261,a1433,,,satellite,Satellite,Fengyun 2G earth observation satellite,,milpress_mentionee,1ccd4ba8f238174953539a831a1325e2,milpress_mentionee__1ccd4ba8f238174953539a831a1325e2
fengyun 4h,Fengyun 4H earth observation satellite,188261,a1433,,,satellite,Satellite,Fengyun 4H earth observation satellite,,milpress_mentionee,f1c802480e245dfed5fa88bc2008fde2,milpress_mentionee__f1c802480e245dfed5fa88bc2008fde2
fengyun 3b,Fengyun 3B earth observation satellite,188261,a1433,,,satellite,Satellite,Fengyun 3B earth observation satellite,,milpress_mentionee,ec138a52088290fef24cd75b8810b7ac,milpress_mentionee__ec138a52088290fef24cd75b8810b7ac
fengyun 3c,Fengyun 3C earth observation satellite,188261,a1433,,,satellite,Satellite,Fengyun 3C earth observation satellite,,milpress_mentionee,723824d9fbc3dbb63ba08357abf04513,milpress_mentionee__723824d9fbc3dbb63ba08357abf04513
fengyun 3d,Fengyun 3D earth observation satellite,188261,a1433,,,satellite,Satellite,Fengyun 3D earth observation satellite,,milpress_mentionee,4974cc25ffc8f426a05670d31d4fdbae,milpress_mentionee__4974cc25ffc8f426a05670d31d4fdbae
fengyun 4a,Fengyun 4A earth observation satellite,188261,a1433,,,satellite,Satellite,Fengyun 4A earth observation satellite,,milpress_mentionee,b42b08faf8c85202e38484dd75fd9872,milpress_mentionee__b42b08faf8c85202e38484dd75fd9872
foshan 1,Foshan 1 technology development satellite,188261,a1433,,,satellite,Satellite,Foshan 1 technology development satellite,,milpress_mentionee,13f7b74a24d34bee75a05cd325bdb531,milpress_mentionee__13f7b74a24d34bee75a05cd325bdb531
gaofen 1,Gaofen 1 earth observation satellite,188261,a1433,,,satellite,Satellite,Gaofen 1 earth observation satellite,,milpress_mentionee,f22c1d2c56c2f154dd1aa578cdde850c,milpress_mentionee__f22c1d2c56c2f154dd1aa578cdde850c
gaofen 10,Gaofen 10 earth observation satellite,188261,a1433,,,satellite,Satellite,Gaofen 10 earth observation satellite,,milpress_mentionee,59e5e23b95ae75429a8e1b9125a457e9,milpress_mentionee__59e5e23b95ae75429a8e1b9125a457e9
gaofen 1-02,Gaofen 1-02 earth observation satellite,188261,a1433,,,satellite,Satellite,Gaofen 1-02 earth observation satellite,,milpress_mentionee,d533788f29c5b144eab866aaf5a46b70,milpress_mentionee__d533788f29c5b144eab866aaf5a46b70
gaofen 1-03,Gaofen 1-03 earth observation satellite,188261,a1433,,,satellite,Satellite,Gaofen 1-03 earth observation satellite,,milpress_mentionee,4e666f877aac4c6fcc0589fd14968f67,milpress_mentionee__4e666f877aac4c6fcc0589fd14968f67
gaofen 1-04,Gaofen 1-04 earth observation satellite,188261,a1433,,,satellite,Satellite,Gaofen 1-04 earth observation satellite,,milpress_mentionee,eb8fc9c6a3a89fb3e3660d3f7786000e,milpress_mentionee__eb8fc9c6a3a89fb3e3660d3f7786000e
