keyword,caption_name,location,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
aeronautica militare falconara,"Italian Air Force Falconara Airbase in Falconara, Italy","13.3623,43.6163",forbase16,Refinery,"Italian Air Force Falconara Airbase in Falconara, Italy",,dgm_foreignbases,0c3ec64986901d97917cab4c4d19b28b,dgm_foreignbases__0c3ec64986901d97917cab4c4d19b28b
aéroport de zhumadian-queshan,"Chinese Air Force Minggang Air Base in Zhumadian, China","114.0588,33.026",forbase17,ForeignMinister,"Chinese Air Force Minggang Air Base in Zhumadian, China",,dgm_foreignbases,57f1aa0a9ad590405b029b4328867cc2,dgm_foreignbases__57f1aa0a9ad590405b029b4328867cc2
aeroporto cosimo di palma di sigonella,"US Air Force Naval Air Station Sigonella in Sicily, Italy","14.922222222,37.401666666",forbase18,Consulates,"US Air Force Naval Air Station Sigonella in Sicily, Italy",,dgm_foreignbases,f2d13df41e29abd0d6f7cd153c742377,dgm_foreignbases__f2d13df41e29abd0d6f7cd153c742377
aeroporto di grosseto,"Italian Air Force Grosseto Airport in Grosseto, Italy","11.071945,42.759722",forbase19,space,"Italian Air Force Grosseto Airport in Grosseto, Italy",,dgm_foreignbases,642644fa1269fc111aa2316d9713fe8d,dgm_foreignbases__642644fa1269fc111aa2316d9713fe8d
aeroporto di guidonia,"Italian Air Force Guidonia Airport in Guidonia Montecelio, Italy","12.74083333,41.99027778",forbase20,Exec,"Italian Air Force Guidonia Airport in Guidonia Montecelio, Italy",,dgm_foreignbases,0d0632d71c57bad4bc69b1f0c52a02ed,dgm_foreignbases__0d0632d71c57bad4bc69b1f0c52a02ed
aeroporto di monserrato,"Regia Aeronautica Aeroporto di Monserrato in Monserrato, Italy","39.2608474,9.1266924",forbase21,LegislativeCommittee,"Regia Aeronautica Aeroporto di Monserrato in Monserrato, Italy",,dgm_foreignbases,8b3eea579d40322bbc7feee25ff37fc7,dgm_foreignbases__8b3eea579d40322bbc7feee25ff37fc7
aeroporto di monserrato,"Regia Aeronautica Aeroporto di Monserrato in Monserrato, Italy","39.2608474,9.1266924",forbase21,Person,"Regia Aeronautica Aeroporto di Monserrato in Monserrato, Italy",,dgm_foreignbases,8b3eea579d40322bbc7feee25ff37fc7,dgm_foreignbases__8b3eea579d40322bbc7feee25ff37fc7
aeroporto militare fortunato cesari,"Italian Air Force Lecce Galatina Airport in Galatina, Italy","18.133325,40.239227777",forbase22,Media,"Italian Air Force Lecce Galatina Airport in Galatina, Italy",,dgm_foreignbases,10054e2fd562953c8b74c9263d8ec33b,dgm_foreignbases__10054e2fd562953c8b74c9263d8ec33b
air base 105 évreux-fauville,"French Air and Space Force Air Base 105 in Évreux, France","1.21972222,49.02861111",forbase23,Consulates,"French Air and Space Force Air Base 105 in Évreux, France",,dgm_foreignbases,c354bc2f9ccc5103e5ae13cb052089c5,dgm_foreignbases__c354bc2f9ccc5103e5ae13cb052089c5
air base 107 villacoublay,"French Air and Space Force Air Base 107 in Yvelines, France","2.19972222,48.77305556",forbase24,ForeignMinistry,"French Air and Space Force Air Base 107 in Yvelines, France",,dgm_foreignbases,9f08e5dc40a79616b28050daf8bdc337,dgm_foreignbases__9f08e5dc40a79616b28050daf8bdc337
air base 110 creil,"French Air and Space Force Air Base 110 in Creil, France","2.519167,49.253612",forbase25,Keyphrase,"French Air and Space Force Air Base 110 in Creil, France",,dgm_foreignbases,98f4c5a0ea65830647bb03bbffb3039d,dgm_foreignbases__98f4c5a0ea65830647bb03bbffb3039d
air base 113 saint-dizier-robinson,"French Air and Space Force Air Base 113 in Saint-Dizier, France","4.89944444,48.63583333",forbase26,CompanyKeyword,"French Air and Space Force Air Base 113 in Saint-Dizier, France",,dgm_foreignbases,866e2deaa6f0b25abc849375372072f6,dgm_foreignbases__866e2deaa6f0b25abc849375372072f6
air base 115 orange-caritat,"French Air and Space Force Air Base 115 in Vaucluse, France","4.868611111,44.14",forbase27,space,"French Air and Space Force Air Base 115 in Vaucluse, France",,dgm_foreignbases,edca183e8af7df5cbb495d5785adf108,dgm_foreignbases__edca183e8af7df5cbb495d5785adf108
air base 116 luxeuil-saint sauveur,"French Air and Space Force Air Base 116 in Luxeuil-les-Bains, France","6.365,47.787222",forbase28,Exec,"French Air and Space Force Air Base 116 in Luxeuil-les-Bains, France",,dgm_foreignbases,9996d5e3a3264099e9278d54400183e7,dgm_foreignbases__9996d5e3a3264099e9278d54400183e7
air base 118 mont-de-marsan,"French Air and Space Force Air Base 118 in Mont-de-Marsan, France","-0.50916667,43.91166667",forbase29,Wells,"French Air and Space Force Air Base 118 in Mont-de-Marsan, France",,dgm_foreignbases,991ab809ff26b7ae379f83ceef882476,dgm_foreignbases__991ab809ff26b7ae379f83ceef882476
air base 120,"French Air and Space Force Air Base 120 in Cazaux, France","-1.12861111,44.53222222",forbase30,Diplomat,"French Air and Space Force Air Base 120 in Cazaux, France",,dgm_foreignbases,9ead8bae6794d99d4c9741bfde4926ad,dgm_foreignbases__9ead8bae6794d99d4c9741bfde4926ad
