keyword,caption_name,feeds,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
yt_miles_to_memories_vegas,Miles to Memories Vegas,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCr7xWPScYIipJbKTXkAifSw,Person,Miles to Memories Vegas,,dgm_youtube_crisk,2491b3e5cde5406d93875b6f5d400e8e,dgm_youtube_crisk__2491b3e5cde5406d93875b6f5d400e8e
yt_cruzely(.)com,Cruzely(.)com,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UC3tX2T8Q9i82f2svmRQ56vQ,LegislativeCommittee,Cruzely(.)com,,dgm_youtube_crisk,e91e3eeac2b04b6161fff21b2fe69b97,dgm_youtube_crisk__e91e3eeac2b04b6161fff21b2fe69b97
yt_show_me_vegas,Show Me Vegas,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCH5qPP3-y834Ewa0NSScqUQ,Media,Show Me Vegas,,dgm_youtube_crisk,6058ebb547bcb38dd8388523e8081713,dgm_youtube_crisk__6058ebb547bcb38dd8388523e8081713
yt_pissed_consumer,Pissed Consumer,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UC-10iF5IE81NV20mPR3Y8dg,DiplomaticFacilities,Pissed Consumer,,dgm_youtube_crisk,9b447f80ae148fdb049e1880e2d0f8e9,dgm_youtube_crisk__9b447f80ae148fdb049e1880e2d0f8e9
yt_travel_ruby,Travel Ruby,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCtKNG2lls6PJV3khiG77Hug,IndustryTerm,Travel Ruby,,dgm_youtube_crisk,324d221036d65e627616893e50d0c221,dgm_youtube_crisk__324d221036d65e627616893e50d0c221
yt_onestopguy,OneStopGuy,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCRtXzNkGzQnsNW3IwPSgfcQ,Person,OneStopGuy,,dgm_youtube_crisk,b401dcab9bbce5c9f47d4d45d436b4d0,dgm_youtube_crisk__b401dcab9bbce5c9f47d4d45d436b4d0
yt_coolist,Coolist,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UC497PzBqv6CkwQeYzR-GFog,Organization,Coolist,,dgm_youtube_crisk,f407fe52a3159139190e1cabad6fe40a,dgm_youtube_crisk__f407fe52a3159139190e1cabad6fe40a
yt_tips_for_travellers,Tips For Travellers,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UC_qE-Obs2ocdmPXY0TIU-cw,FTO,Tips For Travellers,,dgm_youtube_crisk,24bdd53126ec45f6718fc7a7856e4bc4,dgm_youtube_crisk__24bdd53126ec45f6718fc7a7856e4bc4
yt_autoguidecom,Autoguide(.)com,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCV1nIfOSlGhELGvQkr8SUGQ,Organization,Autoguide(.)com,,dgm_youtube_crisk,99aee6cbba0239d686d2fe5315c03bd7,dgm_youtube_crisk__99aee6cbba0239d686d2fe5315c03bd7
yt_traveling_well_for_less,Traveling Well For Less,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCSrjJCs1rZjiPAkQT4NW0vg,Organization,Traveling Well For Less,,dgm_youtube_crisk,b708a48074565cd60ecf0b15cdf883d8,dgm_youtube_crisk__b708a48074565cd60ecf0b15cdf883d8
