keyword,caption_name,location_lower,entity_type,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
Belize,belize,belize,Country,Country,belize,,dgm_traveladvisories_country_fr,48f621bb94135383a66d54914f195bfd,dgm_traveladvisories_country_fr__48f621bb94135383a66d54914f195bfd
Bénin,benin,benin,Country,Country,benin,,dgm_traveladvisories_country_fr,9f1bf009168d01c56794edf2d1a94f83,dgm_traveladvisories_country_fr__9f1bf009168d01c56794edf2d1a94f83
Bhoutan,bhutan,bhutan,Country,Country,bhutan,,dgm_traveladvisories_country_fr,6a748bb76e4fe708a3e321c77ed0d30c,dgm_traveladvisories_country_fr__6a748bb76e4fe708a3e321c77ed0d30c
Bolivie,bolivia,bolivia,Country,Country,bolivia,,dgm_traveladvisories_country_fr,76781be1c79df46b096f0cfb71f2bf82,dgm_traveladvisories_country_fr__76781be1c79df46b096f0cfb71f2bf82
Bosnie-Herzégovine,bosnia,bosnia,Country,Country,bosnia,,dgm_traveladvisories_country_fr,1066e7ebc8eed98d3f77484d0ab2cbc6,dgm_traveladvisories_country_fr__1066e7ebc8eed98d3f77484d0ab2cbc6
Botswana,botswana,botswana,Country,Country,botswana,,dgm_traveladvisories_country_fr,1c182d43cd8d37caf9ed0c3597fc83d9,dgm_traveladvisories_country_fr__1c182d43cd8d37caf9ed0c3597fc83d9
Brésil,brazil,brazil,Country,Country,brazil,,dgm_traveladvisories_country_fr,6e5fa4d9c48ca921c0a2ce1e64c9ae6f,dgm_traveladvisories_country_fr__6e5fa4d9c48ca921c0a2ce1e64c9ae6f
Brunéi,brunei,brunei,Country,Country,brunei,,dgm_traveladvisories_country_fr,0be0d89a7660a0f90bc223b97924a527,dgm_traveladvisories_country_fr__0be0d89a7660a0f90bc223b97924a527
Bulgarie,bulgaria,bulgaria,Country,Country,bulgaria,,dgm_traveladvisories_country_fr,db5f144303047ccd07e8f149da182bc8,dgm_traveladvisories_country_fr__db5f144303047ccd07e8f149da182bc8
Burkina,burkina-faso,burkina-faso,Country,Country,burkina-faso,,dgm_traveladvisories_country_fr,8b035b3ec06309c20e155772f313f5f1,dgm_traveladvisories_country_fr__8b035b3ec06309c20e155772f313f5f1
