german_text,caption_text,lat,lon,ranking,default location,default_lon,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
stauseestr.,"Stauseestrasse in Bautzen, Germany",51.1977062,14.4230062,1,,,,IndustryTerm,"Stauseestrasse in Bautzen, Germany",,german_fires_bautzen_locations,39b16bf7f68eac637af28178743bb298,german_fires_bautzen_locations__39b16bf7f68eac637af28178743bb298
steinstr.,"Steinstrasse in Bautzen, Germany",51.1809801,14.4307601,1,,,,Shipping,"Steinstrasse in Bautzen, Germany",,german_fires_bautzen_locations,b368b07c7e77d0df3137154d54fdf26a,german_fires_bautzen_locations__b368b07c7e77d0df3137154d54fdf26a
stieberstr.,"Stieberstrasse in Bautzen, Germany",51.1736452,14.4379112,1,,,,Keyphrase,"Stieberstrasse in Bautzen, Germany",,german_fires_bautzen_locations,bfd750ed7da1fb2b2814f0eb120e0482,german_fires_bautzen_locations__bfd750ed7da1fb2b2814f0eb120e0482
stiebitzweg,"Stiebitzweg in Bautzen, Germany",51.1768368,14.4057752,1,,,,FTO,"Stiebitzweg in Bautzen, Germany",,german_fires_bautzen_locations,58f8ec337c70b40d74cacd01fd9dd259,german_fires_bautzen_locations__58f8ec337c70b40d74cacd01fd9dd259
strasse der jugend,"Strasse der Jugend in Bautzen, Germany",51.1564264,14.4310075,1,,,,ForeignMinistry,"Strasse der Jugend in Bautzen, Germany",,german_fires_bautzen_locations,a11c517d4e8e57d20137f070c8302c78,german_fires_bautzen_locations__a11c517d4e8e57d20137f070c8302c78
strehlaer weg,"Strehlaer Weg in Bautzen, Germany",51.1688649,14.4643685,1,,,,AAEntity,"Strehlaer Weg in Bautzen, Germany",,german_fires_bautzen_locations,6e673e43da6a225a5bc2709f1c2bdfbf,german_fires_bautzen_locations__6e673e43da6a225a5bc2709f1c2bdfbf
talblick,"Talblick in Bautzen, Germany",51.1569703,14.4353063,1,,,,FTO,"Talblick in Bautzen, Germany",,german_fires_bautzen_locations,8f2f74a74ddd1c294d8c0c6199e4fd69,german_fires_bautzen_locations__8f2f74a74ddd1c294d8c0c6199e4fd69
talstr.,"Talstrasse in Bautzen, Germany",51.1895589,14.4260603,1,,,,Refinery,"Talstrasse in Bautzen, Germany",,german_fires_bautzen_locations,7b12eb4e9e6ca166280b6edc7ec31382,german_fires_bautzen_locations__7b12eb4e9e6ca166280b6edc7ec31382
taschenberg,"Taschenberg in Bautzen, Germany",51.1839223,14.4265557,1,,,,Shipping,"Taschenberg in Bautzen, Germany",,german_fires_bautzen_locations,87abe98a568bbc1d42397bc0c5765595,german_fires_bautzen_locations__87abe98a568bbc1d42397bc0c5765595
taucherstr.,"Taucherstrasse in Bautzen, Germany",51.1773418,14.4344316,1,,,,ForeignMinistry,"Taucherstrasse in Bautzen, Germany",,german_fires_bautzen_locations,45086a8b6de1edac81e20edcc9a1ddbb,german_fires_bautzen_locations__45086a8b6de1edac81e20edcc9a1ddbb
teichnitzer str.,"Teichnitzer Strasse in Bautzen, Germany",51.1909644,14.4191669,1,,,,Refinery,"Teichnitzer Strasse in Bautzen, Germany",,german_fires_bautzen_locations,306e2674748eeffbbe4d35ad4b04d2a0,german_fires_bautzen_locations__306e2674748eeffbbe4d35ad4b04d2a0
temritz,"Temritz in Bautzen, Germany",51.1962072,14.3942525,1,,,,ForeignMinistry,"Temritz in Bautzen, Germany",,german_fires_bautzen_locations,a37b88f5b9bc5f2ef63c1b737dc8951b,german_fires_bautzen_locations__a37b88f5b9bc5f2ef63c1b737dc8951b
temritzer weg,"Temritzer Weg in Bautzen, Germany",51.1920863,14.4026454,1,,,,CompanyKeyword,"Temritzer Weg in Bautzen, Germany",,german_fires_bautzen_locations,d618841dea898e7295cc0ccc69d23c52,german_fires_bautzen_locations__d618841dea898e7295cc0ccc69d23c52
theatergasse,"Theatergasse in Bautzen, Germany",51.1806381,14.4261778,1,,,,Organization,"Theatergasse in Bautzen, Germany",,german_fires_bautzen_locations,d59337e87d96b1ad6c16a3a328117680,german_fires_bautzen_locations__d59337e87d96b1ad6c16a3a328117680
