keyword,caption_name,topic_id,type,groups,guid,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
#sunoco,US oil and gas company Sunoco,188162;188132,company keyword,sunoco,bc8f9401cc5ca763299a507e96aa3663,CompanyKeyword,US oil and gas company Sunoco,,og_mentionee_headsofstate,f4b1f585f8cbeef9efa8af7bf499c26f,og_mentionee_headsofstate__f4b1f585f8cbeef9efa8af7bf499c26f
#surgutneftegas,Russian state-owned oil and gas company Surgutneftegas,188162;188132;188121,company keyword,surgutneftegas,,CompanyKeyword,Russian state-owned oil and gas company Surgutneftegas,,og_mentionee_headsofstate,6007de2917a509385d41a0cd625f4713,og_mentionee_headsofstate__6007de2917a509385d41a0cd625f4713
#surgutneftegaz,Russian state-owned oil and gas company Surgutneftegas,188162;188132;188121,company keyword,surgutneftegas;surgutneftegaz,,CompanyKeyword,Russian state-owned oil and gas company Surgutneftegas,,og_mentionee_headsofstate,b69f3935aacd2b65f540762e642c7164,og_mentionee_headsofstate__b69f3935aacd2b65f540762e642c7164
#surgutněftěgaz,Russian state-owned oil and gas company Surgutneftegas,188162;188132;188121,company keyword,surgutneftegas;surgutněftěgaz,,CompanyKeyword,Russian state-owned oil and gas company Surgutneftegas,,og_mentionee_headsofstate,90de6e1895c5c686a94eacbac7ab0948,og_mentionee_headsofstate__90de6e1895c5c686a94eacbac7ab0948
#syncrude,Canadian oil and gas company Syncrude,188162;188132,company keyword,syncrude,,CompanyKeyword,Canadian oil and gas company Syncrude,,og_mentionee_headsofstate,aac18c882f8af3a77bf4424ac8892b47,og_mentionee_headsofstate__aac18c882f8af3a77bf4424ac8892b47
#syncrude canada,Canadian oil and gas company Syncrude,188162;188132,company keyword,syncrude;syncrude canada,,CompanyKeyword,Canadian oil and gas company Syncrude,,og_mentionee_headsofstate,9f51e21b5c0044a704b94fee0ab69fe7,og_mentionee_headsofstate__9f51e21b5c0044a704b94fee0ab69fe7
#tallgrass energy,US oil and gas company Tallgrass Energy,188162;188132,company keyword,tallgrass energy,8365d926905fb2363c129afac0883aaf,CompanyKeyword,US oil and gas company Tallgrass Energy,,og_mentionee_headsofstate,182c5f58d37dc6adb6f34dfa9ca4db51,og_mentionee_headsofstate__182c5f58d37dc6adb6f34dfa9ca4db51
#tập đoàn dầu khí việt nam,state-owned PetroVietnam,188162;188132;188121,company keyword,petrovietnam;tập đoàn dầu khí việt nam,,CompanyKeyword,state-owned PetroVietnam,,og_mentionee_headsofstate,79642ecc4871f9e81acc2df751b9212d,og_mentionee_headsofstate__79642ecc4871f9e81acc2df751b9212d
#targa resources,US oil and gas company Targa Resources,188162;188132,company keyword,targa resources,9d9f92edce6520f495a52924edf7d10f,CompanyKeyword,US oil and gas company Targa Resources,,og_mentionee_headsofstate,9c3b5340e651e278fd76fe971c6ab4c5,og_mentionee_headsofstate__9c3b5340e651e278fd76fe971c6ab4c5
#tatneft,Russian state-owned oil and gas company Tatneft,188162;188132;188121,company keyword,tatneft,143468ae251906ded0d1686f8ea6fe9a,CompanyKeyword,Russian state-owned oil and gas company Tatneft,,og_mentionee_headsofstate,207c9f47b573726a637e6a59dbec800b,og_mentionee_headsofstate__207c9f47b573726a637e6a59dbec800b
