german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,.5,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
jagerstieg,"Jagerstieg in Hanover, Germany",52.4361877,9.7896514,1,,,,,,,,,Legislator,"Jagerstieg in Hanover, Germany",,german_fires_hannover_locations,afc00959395c15b53198fd311ebf5d12,german_fires_hannover_locations__d34cdb7027ccf334ae5bb948848de824
jagerstrasse,"Jagerstrasse in Hanover, Germany",52.3806812,9.7160147,1,,,,,,,,,Keyphrase,"Jagerstrasse in Hanover, Germany",,german_fires_hannover_locations,b5e8926808b640e72ce153c384f7cdab,german_fires_hannover_locations__0b6731f3155bd202eff7ea74912dbba6
johrensstrasse,"Johrensstrasse in Hanover, Germany",52.3602103,9.8339934,1,,,,,,,,,space,"Johrensstrasse in Hanover, Germany",,german_fires_hannover_locations,1cce3f716eba586a345cab732435cf6c,german_fires_hannover_locations__1721aa6c5a7c64f62ab41e80e19acd10
jornshof,"Jornshof in Hanover, Germany",52.3988025,9.8051617,1,,,,,,,,,Legislator,"Jornshof in Hanover, Germany",,german_fires_hannover_locations,ceb911d905c2ae534e14b7dc727bb5af,german_fires_hannover_locations__f92e54d9bb6b5f460068551a2bcd5cd8
jurgenweg,"Jurgenweg in Hanover, Germany",52.411163,9.6798739,1,,,,,,,,,DiplomaticFacilities,"Jurgenweg in Hanover, Germany",,german_fires_hannover_locations,a1d934d1d1ee51c87f7d42f4ea7beda7,german_fires_hannover_locations__82eff47c49e3bcb8cf73ee5ecce92d2c
jutlandstrasse,"Jutlandstrasse in Hanover, Germany",52.3344544,9.6931236,1,,,,,,,,,FTO,"Jutlandstrasse in Hanover, Germany",,german_fires_hannover_locations,ba4475d1c6ee8d920e2e11adc91137b5,german_fires_hannover_locations__4b7f0d68a5b16197d56f5c09bc9cad7d
kabelkamp,"Kabelkamp in Hanover, Germany",52.4123171,9.7314744,1,,,,,,,,,Wells,"Kabelkamp in Hanover, Germany",,german_fires_hannover_locations,9540527b90b9dd94b45cd754c720fa38,german_fires_hannover_locations__4eaf0bd405034f8be7ed1bf8eb8afe9d
kafkastrasse,"Kafkastrasse in Hanover, Germany",52.3942165,9.8403185,1,,,,,,,,,space,"Kafkastrasse in Hanover, Germany",,german_fires_hannover_locations,f87a0164ae56a5d5ab20c8ef282053a8,german_fires_hannover_locations__24dbc3507c5ccae1bf6301cfa4e26b5e
kahlendamm,"Kahlendamm in Hanover, Germany",52.4433926,9.7941376,1,,,,,,,,,CompanyKeyword,"Kahlendamm in Hanover, Germany",,german_fires_hannover_locations,ee6ac8f1b44dd1fdb6c412c1de115415,german_fires_hannover_locations__a05c68792ea2a8b54b876ce92adfa50a
kaiser-wilhelm-strasse,"Kaiser-Wilhelm-strasse in Hanover, Germany",52.3605795,9.8219473,1,,,,,,,,,AAEntity,"Kaiser-Wilhelm-strasse in Hanover, Germany",,german_fires_hannover_locations,c20f6773ada89c32f6365ea0b80ea108,german_fires_hannover_locations__8976906018b2402bc59866dbdb2426ef
