handle,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
avweekleeann,Defense reporter,Consulates,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
beverstine,Defense reporter,Shipping,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
carlababbvoa,Defense reporter,CompanyKeyword,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
carlwoog,Defense reporter,Exec,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
cbswalsh,Defense reporter,Consulates,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
cdicksteindc,Defense reporter,Keyphrase,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
ckubenbc,Defense reporter,FTO,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
connorobriennh,Defense reporter,AAEntity,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
danlamothe,Defense reporter,Person,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
davidlarter,Defense reporter,Organization,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
defensebaron,Defense reporter,ForeignMinistry,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
dougcameron,Defense reporter,Exec,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
drewbrooks,Defense reporter,Pipeline,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
