native_language,english_term,caption_text,incident_tier,topic_tags,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
pucala,shot,Shooting incident reported,4,Crime - Non-Active,188297,Legislator,Shooting incident reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
pucali,shot,Shooting incident reported,4,Crime - Non-Active,188297,Refinery,Shooting incident reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
pucale,shot,Shooting incident reported,4,Crime - Non-Active,188297,Person,Shooting incident reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
upucan,shot,Shooting incident reported,4,Crime - Non-Active,188297,CompanyKeyword,Shooting incident reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
upucana,shot,Shooting incident reported,4,Crime - Non-Active,188297,DiplomaticFacilities,Shooting incident reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
upucano,shot,Shooting incident reported,4,Crime - Non-Active,188297,ForeignMinister,Shooting incident reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
upucani,shot,Shooting incident reported,4,Crime - Non-Active,188297,DiplomaticFacilities,Shooting incident reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
upucane,shot,Shooting incident reported,4,Crime - Non-Active,188297,Consulates,Shooting incident reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
pucač,shooter,Shooting incident reported,4,Crime - Non-Active,188297,Pipeline,Shooting incident reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
pucača,shooter,Shooting incident reported,4,Crime - Non-Active,188297,Wells,Shooting incident reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
strijelac,shooter,Shooting incident reported,4,Crime - Non-Active,188297,Refinery,Shooting incident reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
strijelca,shooter,Shooting incident reported,4,Crime - Non-Active,188297,Wells,Shooting incident reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
strijelcem,shooter,Shooting incident reported,4,Crime - Non-Active,188297,AAEntity,Shooting incident reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
strijelci,shooter,Shooting incident reported,4,Crime - Non-Active,188297,Diplomat,Shooting incident reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
strijelaca,shooter,Shooting incident reported,4,Crime - Non-Active,188297,IndustryTerm,Shooting incident reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
strijelce,shooter,Shooting incident reported,4,Crime - Non-Active,188297,CompanyKeyword,Shooting incident reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
strijelcima,shooter,Shooting incident reported,4,Crime - Non-Active,188297,Consulates,Shooting incident reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
napadač,shooter,Shooting incident reported,4,Crime - Non-Active,188297,IndustryTerm,Shooting incident reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
