company,GUID,caption name,exactcheck,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
cision,a0ec8f77a477a84b08ee0222e9eec738,Cision,,Shipping,Cision,,CrunchbaseFunding_CompanyMapping,2cb09bcad58debcf4eb2ee0a9821044c,CrunchbaseFunding_CompanyMapping__2cb09bcad58debcf4eb2ee0a9821044c
staples,a10b1602d50d49b08c5c611c081ac6a8,Staples,,CompanyKeyword,Staples,,CrunchbaseFunding_CompanyMapping,bca4f4104d6e01aff76b004c92e6f45d,CrunchbaseFunding_CompanyMapping__bca4f4104d6e01aff76b004c92e6f45d
southeastern grocers,a155ce2c5005e7e077aaf35420c51851,Southeastern Grocers,,Pipeline,Southeastern Grocers,,CrunchbaseFunding_CompanyMapping,ed43624d95d78ad20df1270ed1740e22,CrunchbaseFunding_CompanyMapping__ed43624d95d78ad20df1270ed1740e22
transunion,a1efea9642a9b9d065d368bff3a4c9f9,TransUnion,,Person,TransUnion,,CrunchbaseFunding_CompanyMapping,cc03888dc893c8591da8003a4fce4f17,CrunchbaseFunding_CompanyMapping__cc03888dc893c8591da8003a4fce4f17
the irvine company,a2df86fb9db8a0089356d86b97fcdea3,The Irvine Company,,Diplomat,The Irvine Company,,CrunchbaseFunding_CompanyMapping,ba7a84333e04d1d6334951e2e67926ce,CrunchbaseFunding_CompanyMapping__ba7a84333e04d1d6334951e2e67926ce
pfizer,a35666db9cb5e8fe11e739d1a73da288,Pfizer,,Diplomat,Pfizer,,CrunchbaseFunding_CompanyMapping,c1b9f1c2d5cc1361ccf28b0108bd7179,CrunchbaseFunding_CompanyMapping__c1b9f1c2d5cc1361ccf28b0108bd7179
credit suisse,a35fc230025bf78d5328b3c5125c6820,Credit Suisse,,Person,Credit Suisse,,CrunchbaseFunding_CompanyMapping,93f85604f8c214e8cbbe3e6b9099b15f,CrunchbaseFunding_CompanyMapping__93f85604f8c214e8cbbe3e6b9099b15f
peleton,a365212ba5ca63154de91381df90afe4,Peleton,,Consulates,Peleton,,CrunchbaseFunding_CompanyMapping,cc98f0ddf9777df8327edf6fa6f69cb7,CrunchbaseFunding_CompanyMapping__cc98f0ddf9777df8327edf6fa6f69cb7
statkraft ventures,a4f24924ef3270f8fdf0b810ff4331f8,Statkraft Ventures,,Shipping,Statkraft Ventures,,CrunchbaseFunding_CompanyMapping,f9032eb7436485eee31b660b77198b52,CrunchbaseFunding_CompanyMapping__f9032eb7436485eee31b660b77198b52
genentech,a50d56d1d8706a6ba432929c931ee48c,Genentech,,Pipeline,Genentech,,CrunchbaseFunding_CompanyMapping,2f27b383cca2565ad499e55bb534e669,CrunchbaseFunding_CompanyMapping__2f27b383cca2565ad499e55bb534e669
wec energy group,a5d16dfd1401f7f1c168f582df3d049c,WEC Energy Group,,Wells,WEC Energy Group,,CrunchbaseFunding_CompanyMapping,3c425bbba79b5dd30d22893c3014dff2,CrunchbaseFunding_CompanyMapping__3c425bbba79b5dd30d22893c3014dff2
benjamin moore,a5d91bcc184582038da424d86dbfb176,Benjamin Moore,,Consulates,Benjamin Moore,,CrunchbaseFunding_CompanyMapping,d18b585d715615c0e57bd2f18c3dde79,CrunchbaseFunding_CompanyMapping__d18b585d715615c0e57bd2f18c3dde79
berkshire hathaway,a5d91bcc184582038da424d86dbfb176,Berkshire Hathaway,,LegislativeCommittee,Berkshire Hathaway,,CrunchbaseFunding_CompanyMapping,84a28c3021f697852f6b4c073d9930ba,CrunchbaseFunding_CompanyMapping__84a28c3021f697852f6b4c073d9930ba
tcf national bank,a6400ac89f9958fc48f31832def512c2,TCF National Bank,,Pipeline,TCF National Bank,,CrunchbaseFunding_CompanyMapping,e997b773e79f572bc730f39232cbb15a,CrunchbaseFunding_CompanyMapping__e997b773e79f572bc730f39232cbb15a
discover financial services,a6404f7feafdb9022a4fe8d84508cb48,Discover Financial Services,,IndustryTerm,Discover Financial Services,,CrunchbaseFunding_CompanyMapping,c5f9dcd284f80cd56cb8cf8ebdde305b,CrunchbaseFunding_CompanyMapping__c5f9dcd284f80cd56cb8cf8ebdde305b
ferrero,a67b76d0e3fda90530db658a226461af,Ferrero,,LegislativeCommittee,Ferrero,,CrunchbaseFunding_CompanyMapping,6a621932ef4b94bf9c9c0bfb9439d7d1,CrunchbaseFunding_CompanyMapping__6a621932ef4b94bf9c9c0bfb9439d7d1
citadel,a6fcf4438b6796c183ab63dd6eb1baee,Citadel,,LegislativeCommittee,Citadel,,CrunchbaseFunding_CompanyMapping,6a51af6c472004eb3bf8288f45b38501,CrunchbaseFunding_CompanyMapping__6a51af6c472004eb3bf8288f45b38501
l brands,a74dafa604ed0c61dfd936014e68cf11,L Brands,,Exec,L Brands,,CrunchbaseFunding_CompanyMapping,ecc1fc6fbf36f2d5856e70d57790254e,CrunchbaseFunding_CompanyMapping__ecc1fc6fbf36f2d5856e70d57790254e
cognizant,a7b5599d2f512bee58ad7e711f2713d4,Cognizant Technology Solutions U.S.,,News,Cognizant Technology Solutions U.S.,,CrunchbaseFunding_CompanyMapping,0243cd1ae442ea903bbfabece6888d46,CrunchbaseFunding_CompanyMapping__0243cd1ae442ea903bbfabece6888d46
