keyword,caption_name,location_lower,lat,long,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
hürth,"Hürth, Germany",hürth,50.8805932,6.8881425,LegislativeCommittee,"Hürth, Germany",,dgm_german_location,2c68ee3d5a3647fe53d3adac0774909d,dgm_german_location__2c68ee3d5a3647fe53d3adac0774909d
husum,"Husum, Germany",husum,54.4837642,9.0600628,DiplomaticFacilities,"Husum, Germany",,dgm_german_location,01d7511c4388e7c02040a9d3db6b8dc2,dgm_german_location__01d7511c4388e7c02040a9d3db6b8dc2
gadebusch,"Gadebusch, Germany",gadebusch,53.7015558,11.115704,Refinery,"Gadebusch, Germany",,dgm_german_location,2cff5c7bef3bab02a1d24c139dbf9354,dgm_german_location__2cff5c7bef3bab02a1d24c139dbf9354
gaildorf,"Gaildorf, Germany",gaildorf,48.9998717,9.7655136,Consulates,"Gaildorf, Germany",,dgm_german_location,e760c9d1c1ddb4b8823273842ee1290d,dgm_german_location__e760c9d1c1ddb4b8823273842ee1290d
gammertingen,"Gammertingen, Germany",gammertingen,48.2503036,9.215678,LegislativeCommittee,"Gammertingen, Germany",,dgm_german_location,5cc6ad96812d1beab3113bf4cac8f90b,dgm_german_location__5cc6ad96812d1beab3113bf4cac8f90b
garbsen,"Garbsen, Germany",garbsen,52.4272509,9.5955146,ForeignMinister,"Garbsen, Germany",,dgm_german_location,4e5a1b06635d396b118e469e84d43c65,dgm_german_location__4e5a1b06635d396b118e469e84d43c65
garching b.münchen,"Garching bei München, Germany",garching b.münchen,48.2488721,11.6532477,Diplomat,"Garching bei München, Germany",,dgm_german_location,926baae9b38a858f1d5d61eb16774d31,dgm_german_location__926baae9b38a858f1d5d61eb16774d31
gardelegen,"Gardelegen, Germany",gardelegen,52.5268133,11.401844,Exec,"Gardelegen, Germany",,dgm_german_location,f6eeb4afca8846f04f277b82dc31cf50,dgm_german_location__f6eeb4afca8846f04f277b82dc31cf50
garding,"Garding, Germany",garding,54.3295187,8.7865482,Refinery,"Garding, Germany",,dgm_german_location,94ccb40ff30a6b6807b45d5da0d2fc93,dgm_german_location__94ccb40ff30a6b6807b45d5da0d2fc93
gartz oder,"Gartz, Germany",gartz oder,53.209362,14.3792465,Person,"Gartz, Germany",,dgm_german_location,cca4047fb795d055b6e2386a59c9b943,dgm_german_location__cca4047fb795d055b6e2386a59c9b943
