german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,.5,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
helenenstrasse,"Helenenstrasse in Solingen, Germany",51.1819051,7.0880663,1,,,,,,,,,LegislativeCommittee,"Helenenstrasse in Solingen, Germany",,german_fires_solingen_locations,9872fc633ac4b6925238f6deaa0a7775,german_fires_solingen_locations__9872fc633ac4b6925238f6deaa0a7775
heliosweg,"Heliosweg in Solingen, Germany",51.1939799,7.0461133,1,,,,,,,,,Legislator,"Heliosweg in Solingen, Germany",,german_fires_solingen_locations,560793f2cacf62cacd7bc7823faceaf5,german_fires_solingen_locations__560793f2cacf62cacd7bc7823faceaf5
hellerfeld,"Hellerfeld in Solingen, Germany",51.1415161,7.1579418,1,,,,,,,,,Shipping,"Hellerfeld in Solingen, Germany",,german_fires_solingen_locations,2de09303ffae5ed7ce002287fd0109e5,german_fires_solingen_locations__2de09303ffae5ed7ce002287fd0109e5
helmholtzstrasse,"Helmholtzstrasse in Solingen, Germany",51.1688013,7.0198286,1,,,,,,,,,Shipping,"Helmholtzstrasse in Solingen, Germany",,german_fires_solingen_locations,47e4e50a3ecd69c5012067ac8ea360d3,german_fires_solingen_locations__47e4e50a3ecd69c5012067ac8ea360d3
helsinkistrasse,"Helsinkistrasse in Solingen, Germany",51.1476533,7.0553419,1,,,,,,,,,Wells,"Helsinkistrasse in Solingen, Germany",,german_fires_solingen_locations,c3825bc146ce0227eff93cf59f2770d4,german_fires_solingen_locations__c3825bc146ce0227eff93cf59f2770d4
henckelsstrasse,"Henckelsstrasse in Solingen, Germany",51.163881,7.0770949,1,,,,,,,,,Keyphrase,"Henckelsstrasse in Solingen, Germany",,german_fires_solingen_locations,98c78a81de57aef1d1a747d0b705082f,german_fires_solingen_locations__98c78a81de57aef1d1a747d0b705082f
henri-dunant-strasse,"Henri-Dunant-Strasse in Solingen, Germany",51.1745195,7.1020249,1,,,,,,,,,Diplomat,"Henri-Dunant-Strasse in Solingen, Germany",,german_fires_solingen_locations,dcd8fcec78421d1df2e67478a038e996,german_fires_solingen_locations__dcd8fcec78421d1df2e67478a038e996
henriettenstrasse,"Henriettenstrasse in Solingen, Germany",51.1819109,7.0463743,1,,,,,,,,,IndustryTerm,"Henriettenstrasse in Solingen, Germany",,german_fires_solingen_locations,a6cffe144a47f5f1db02f5e581721366,german_fires_solingen_locations__a6cffe144a47f5f1db02f5e581721366
henshauser strasse,"Henshauser Strasse in Solingen, Germany",51.1867838,7.0499431,1,,,,,,,,,space,"Henshauser Strasse in Solingen, Germany",,german_fires_solingen_locations,8ddd9e43e9e52e7542394b227d727311,german_fires_solingen_locations__8ddd9e43e9e52e7542394b227d727311
henshauserfeld,"Henshauserfeld in Solingen, Germany",51.1850779,7.0447723,1,,,,,,,,,Keyphrase,"Henshauserfeld in Solingen, Germany",,german_fires_solingen_locations,5a79a003e5df3fd2033f59fbd7a7f620,german_fires_solingen_locations__5a79a003e5df3fd2033f59fbd7a7f620
herberger strasse,"Herberger Strasse in Solingen, Germany",51.1840131,7.073244,1,,,,,,,,,Person,"Herberger Strasse in Solingen, Germany",,german_fires_solingen_locations,5b8ac367903e19b824901e2102dcc869,german_fires_solingen_locations__5b8ac367903e19b824901e2102dcc869
