keyword,keyword_upper,caption_name,location,location_lower,type,guid,topic_id,focus_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
david h souter,david h souter,Former US Supreme Court Justice David Souter,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,Former US Supreme Court Justice David Souter,,dgm_SCOTUS,2b8f45071955666eff4c9cf1c5e9ace1,dgm_SCOTUS__2b8f45071955666eff4c9cf1c5e9ace1
justice souter,justice souter,Former US Supreme Court Justice David Souter,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,Former US Supreme Court Justice David Souter,,dgm_SCOTUS,2b8f45071955666eff4c9cf1c5e9ace1,dgm_SCOTUS__2b8f45071955666eff4c9cf1c5e9ace1
justicebarrett,justicebarrett,US Supreme Court Justice Amy Coney Barrett,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Amy Coney Barrett,,dgm_SCOTUS,2f89781573d0f8e7bd2a99e0da52d244,dgm_SCOTUS__2f89781573d0f8e7bd2a99e0da52d244
judgebarrett,judgebarrett,US Supreme Court Justice Amy Coney Barrett,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Amy Coney Barrett,,dgm_SCOTUS,2f89781573d0f8e7bd2a99e0da52d244,dgm_SCOTUS__2f89781573d0f8e7bd2a99e0da52d244
amyconeybarrett,amyconeybarrett,US Supreme Court Justice Amy Coney Barrett,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Amy Coney Barrett,,dgm_SCOTUS,2f89781573d0f8e7bd2a99e0da52d244,dgm_SCOTUS__2f89781573d0f8e7bd2a99e0da52d244
amybarrett,amybarrett,US Supreme Court Justice Amy Coney Barrett,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Amy Coney Barrett,,dgm_SCOTUS,2f89781573d0f8e7bd2a99e0da52d244,dgm_SCOTUS__2f89781573d0f8e7bd2a99e0da52d244
barrett,barrett,US Supreme Court Justice Amy Coney Barrett,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Amy Coney Barrett,,dgm_SCOTUS,2f89781573d0f8e7bd2a99e0da52d244,dgm_SCOTUS__2f89781573d0f8e7bd2a99e0da52d244
amycbarrett,amycbarrett,US Supreme Court Justice Amy Coney Barrett,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Amy Coney Barrett,,dgm_SCOTUS,2f89781573d0f8e7bd2a99e0da52d244,dgm_SCOTUS__2f89781573d0f8e7bd2a99e0da52d244
justice barrett,justice barrett,US Supreme Court Justice Amy Coney Barrett,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Amy Coney Barrett,,dgm_SCOTUS,2f89781573d0f8e7bd2a99e0da52d244,dgm_SCOTUS__2f89781573d0f8e7bd2a99e0da52d244
judge barrett,judge barrett,US Supreme Court Justice Amy Coney Barrett,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Amy Coney Barrett,,dgm_SCOTUS,2f89781573d0f8e7bd2a99e0da52d244,dgm_SCOTUS__2f89781573d0f8e7bd2a99e0da52d244
